1,492980.142,6326131.796,14.640
BALL CENTER,493057.619,6326035.345,20.031
WS1,493195.210,6325944.466,11.194
WS2,492918.146,6326019.549,11.425
WS2 1,492918.148,6326019.548,11.419
WS3,492996.556,6326209.760,10.718
BALL C OFF1.865,493057.616,6326035.342,18.160
WCUP2,493248.381,6325856.612,35.200
WCUP3,493249.705,6325857.166,64.910
WCUP4,493252.173,6325857.994,95.545
WVANE,493254.199,6325858.783,120.242
TCUPW,493255.495,6325859.164,125.282
TOP CENTER,493256.709,6325859.569,124.301
TCUPE,493257.962,6325860.036,125.216
SONIC E,493258.858,6325860.831,119.859
E CUP 5,493260.936,6325861.836,95.558
E SONIC 4,493263.127,6325862.919,64.850
E VANE 3,493264.049,6325863.837,32.570
E SONIC 1,493264.840,6325864.297,20.287
W CUP 1,493247.497,6325856.344,20.114
E SONIC 2,493264.128,6325863.839,34.673
TOWER F 1,492970.932,6326133.166,13.493
TOWER F 2,492971.476,6326133.639,13.495
TOWER F 3,492971.904,6326134.189,13.499
TOWER F 4,492972.186,6326134.725,13.496
TOWER F 5,492972.344,6326135.176,13.497
TOWER F 6,492972.443,6326135.653,13.498
TOWER F 7,492972.477,6326136.289,13.493
TOWER F 8,492972.380,6326137.008,13.496
TOWER F 9,492971.990,6326137.991,13.491
TOWER F 10,492971.618,6326138.521,13.494
BOOMW1,493247.571,6325856.320,19.376
BOOMW2,493248.419,6325856.609,34.626
BOOMW3,493249.698,6325857.161,64.458
BOOMW4,493252.170,6325858.007,95.180
BOOMW5,493255.426,6325859.167,124.307
BOOME1,493264.851,6325864.313,19.713
BOOME2,493264.064,6325863.846,32.008
BOOME3,493264.140,6325863.824,34.270
BOOME4,493263.142,6325862.921,64.630
BOOME5,493260.916,6325861.837,94.982
BOOME6,493258.793,6325860.826,119.581
BOOME7,493257.899,6325860.014,124.303
TOWER BALCONY,492970.993,6326130.647,24.199
