datetime,vx,vy,vz,Vvec,Vhorz,gamma,psi,vx12,vy12,Vhorz12,vx23,vy23,Vhorz23,vx31,vy31,Vhorz31,vx_pp,vy_pp,vz_pp,vx12_pp,vy12_pp,vx23_pp,vy23_pp,vx31_pp,vy31_pp,Vvec_pp,Vhorz_pp,gamma_pp,psi_pp,Vhorz12_pp,Vhorz23_pp,Vhorz31_pp,fe_R,fe_T,fe_P,dZ_eff,dZ1,dZ2,dZ3,dL,Leff,u,v,w,u12,v12,w12,u23,v23,w23,u31,v31,w31,u_pp,v_pp,w_pp,u12_pp,v12_pp,w12_pp,u23_pp,v23_pp,w23_pp,u31_pp,v31_pp,w31_pp,dt1,dt2,dt3,qc1,qc2
2022-04-26 18:58:00+00:00,1.6144,-4.5526,0.3338,5.4140,4.9698,-1.8920,0.0129,-4.4103,1.8714,6.5345,-4.6210,1.6394,4.9746,-3.6002,-4.1895,12.3705,1.6821,-4.6308,-0.0715,-4.6450,1.6591,-4.6052,1.6726,-3.7992,-3.3817,5.2122,5.0215,-1.8967,6.2746,8.8067,4.9934,12.5219,-0.1204,6.2831,0.0009,10.9404,11.1434,11.1084,9.8546,3.9997,2.0029,0.8823,-4.7491,0.3338,-4.0633,2.5383,0.0000,-4.3076,2.3421,0.0000,-4.2112,-3.5747,0.0000,0.9370,-4.8369,-0.0715,-4.3282,2.3653,0.0000,-4.2869,2.3724,0.0000,-4.2815,-2.7457,0.0000,3.0989,3.0991,3.0989,1.0016,1.0008
2022-04-26 18:59:00+00:00,2.0213,-4.2041,0.6144,5.2185,4.7821,-2.0003,0.0733,-7.0252,-3.0559,14.0725,-4.6561,2.1963,5.1951,-3.3995,-2.7944,11.2604,2.1022,-4.2567,0.2061,-8.8023,-6.1295,-4.6077,2.2397,-3.9695,0.3612,5.0386,4.8249,-2.0042,0.0522,17.8905,5.1948,7.8656,-0.1182,6.2832,0.0009,10.8778,11.0781,11.0443,9.7977,3.9792,1.9921,1.3387,-4.4686,0.6144,-7.4168,-1.9193,0.0000,-4.2552,2.8976,0.0000,-3.7948,-2.2282,0.0000,1.4104,-4.5332,0.2061,-9.6528,-4.6771,0.0000,-4.2006,2.9330,0.0000,-3.8641,0.9777,0.0000,3.0990,3.0988,3.0990,1.0016,1.0008
2022-04-26 18:58:00+00:00,1.6144,-4.5526,0.3338,5.4140,4.9698,-1.8920,0.0129,-4.4103,1.8714,6.5345,-4.6210,1.6394,4.9746,-3.6002,-4.1895,12.3705,1.6821,-4.6308,-0.0715,-4.6450,1.6591,-4.6052,1.6726,-3.7992,-3.3817,5.2122,5.0215,-1.8967,6.2746,8.8067,4.9934,12.5219,-0.1204,6.2831,0.0009,10.9404,11.1434,11.1084,9.8546,3.9997,2.0029,0.8823,-4.7491,0.3338,-4.0633,2.5383,0.0000,-4.3076,2.3421,0.0000,-4.2112,-3.5747,0.0000,0.9370,-4.8369,-0.0715,-4.3282,2.3653,0.0000,-4.2869,2.3724,0.0000,-4.2815,-2.7457,0.0000,3.0989,3.0991,3.0989,1.0016,1.0008
2022-04-26 18:58:00+00:00,1.6144,-4.5526,0.3338,5.4140,4.9698,-1.8920,0.0129,-4.4103,1.8714,6.5345,-4.6210,1.6394,4.9746,-3.6002,-4.1895,12.3705,1.6821,-4.6308,-0.0715,-4.6450,1.6591,-4.6052,1.6726,-3.7992,-3.3817,5.2122,5.0215,-1.8967,6.2746,8.8067,4.9934,12.5219,-0.1204,6.2831,0.0009,10.9404,11.1434,11.1084,9.8546,3.9997,2.0029,0.8823,-4.7491,0.3338,-4.0633,2.5383,0.0000,-4.3076,2.3421,0.0000,-4.2112,-3.5747,0.0000,0.9370,-4.8369,-0.0715,-4.3282,2.3653,0.0000,-4.2869,2.3724,0.0000,-4.2815,-2.7457,0.0000,3.0989,3.0991,3.0989,1.0016,1.0008
2022-04-26 18:58:00+00:00,1.6144,-4.5526,0.3338,5.4140,4.9698,-1.8920,0.0129,-4.4103,1.8714,6.5345,-4.6210,1.6394,4.9746,-3.6002,-4.1895,12.3705,1.6821,-4.6308,-0.0715,-4.6450,1.6591,-4.6052,1.6726,-3.7992,-3.3817,5.2122,5.0215,-1.8967,6.2746,8.8067,4.9934,12.5219,-0.1204,6.2831,0.0009,10.9404,11.1434,11.1084,9.8546,3.9997,2.0029,0.8823,-4.7491,0.3338,-4.0633,2.5383,0.0000,-4.3076,2.3421,0.0000,-4.2112,-3.5747,0.0000,0.9370,-4.8369,-0.0715,-4.3282,2.3653,0.0000,-4.2869,2.3724,0.0000,-4.2815,-2.7457,0.0000,3.0989,3.0991,3.0989,1.0016,1.0008
2022-04-26 18:58:00+00:00,1.6144,-4.5526,0.3338,5.4140,4.9698,-1.8920,0.0129,-4.4103,1.8714,6.5345,-4.6210,1.6394,4.9746,-3.6002,-4.1895,12.3705,1.6821,-4.6308,-0.0715,-4.6450,1.6591,-4.6052,1.6726,-3.7992,-3.3817,5.2122,5.0215,-1.8967,6.2746,8.8067,4.9934,12.5219,-0.1204,6.2831,0.0009,10.9404,11.1434,11.1084,9.8546,3.9997,2.0029,0.8823,-4.7491,0.3338,-4.0633,2.5383,0.0000,-4.3076,2.3421,0.0000,-4.2112,-3.5747,0.0000,0.9370,-4.8369,-0.0715,-4.3282,2.3653,0.0000,-4.2869,2.3724,0.0000,-4.2815,-2.7457,0.0000,3.0989,3.0991,3.0989,1.0016,1.0008
2022-04-26 18:59:00+00:00,2.0213,-4.2041,0.6144,5.2185,4.7821,-2.0003,0.0733,-7.0252,-3.0559,14.0725,-4.6561,2.1963,5.1951,-3.3995,-2.7944,11.2604,2.1022,-4.2567,0.2061,-8.8023,-6.1295,-4.6077,2.2397,-3.9695,0.3612,5.0386,4.8249,-2.0042,0.0522,17.8905,5.1948,7.8656,-0.1182,6.2832,0.0009,10.8778,11.0781,11.0443,9.7977,3.9792,1.9921,1.3387,-4.4686,0.6144,-7.4168,-1.9193,0.0000,-4.2552,2.8976,0.0000,-3.7948,-2.2282,0.0000,1.4104,-4.5332,0.2061,-9.6528,-4.6771,0.0000,-4.2006,2.9330,0.0000,-3.8641,0.9777,0.0000,3.0990,3.0988,3.0990,1.0016,1.0008
2022-04-26 18:58:00+00:00,1.6144,-4.5526,0.3338,5.4140,4.9698,-1.8920,0.0129,-4.4103,1.8714,6.5345,-4.6210,1.6394,4.9746,-3.6002,-4.1895,12.3705,1.6821,-4.6308,-0.0715,-4.6450,1.6591,-4.6052,1.6726,-3.7992,-3.3817,5.2122,5.0215,-1.8967,6.2746,8.8067,4.9934,12.5219,-0.1204,6.2831,0.0009,10.9404,11.1434,11.1084,9.8546,3.9997,2.0029,0.8823,-4.7491,0.3338,-4.0633,2.5383,0.0000,-4.3076,2.3421,0.0000,-4.2112,-3.5747,0.0000,0.9370,-4.8369,-0.0715,-4.3282,2.3653,0.0000,-4.2869,2.3724,0.0000,-4.2815,-2.7457,0.0000,3.0989,3.0991,3.0989,1.0016,1.0008
2022-04-26 18:59:00+00:00,2.0213,-4.2041,0.6144,5.2185,4.7821,-2.0003,0.0733,-7.0252,-3.0559,14.0725,-4.6561,2.1963,5.1951,-3.3995,-2.7944,11.2604,2.1022,-4.2567,0.2061,-8.8023,-6.1295,-4.6077,2.2397,-3.9695,0.3612,5.0386,4.8249,-2.0042,0.0522,17.8905,5.1948,7.8656,-0.1182,6.2832,0.0009,10.8778,11.0781,11.0443,9.7977,3.9792,1.9921,1.3387,-4.4686,0.6144,-7.4168,-1.9193,0.0000,-4.2552,2.8976,0.0000,-3.7948,-2.2282,0.0000,1.4104,-4.5332,0.2061,-9.6528,-4.6771,0.0000,-4.2006,2.9330,0.0000,-3.8641,0.9777,0.0000,3.0990,3.0988,3.0990,1.0016,1.0008
2022-04-26 18:58:00+00:00,1.6144,-4.5526,0.3338,5.4140,4.9698,-1.8920,0.0129,-4.4103,1.8714,6.5345,-4.6210,1.6394,4.9746,-3.6002,-4.1895,12.3705,1.6821,-4.6308,-0.0715,-4.6450,1.6591,-4.6052,1.6726,-3.7992,-3.3817,5.2122,5.0215,-1.8967,6.2746,8.8067,4.9934,12.5219,-0.1204,6.2831,0.0009,10.9404,11.1434,11.1084,9.8546,3.9997,2.0029,0.8823,-4.7491,0.3338,-4.0633,2.5383,0.0000,-4.3076,2.3421,0.0000,-4.2112,-3.5747,0.0000,0.9370,-4.8369,-0.0715,-4.3282,2.3653,0.0000,-4.2869,2.3724,0.0000,-4.2815,-2.7457,0.0000,3.0989,3.0991,3.0989,1.0016,1.0008
